Sitename,Category,Address,Borough,Zip,Latitude,Longitude
Duane Reade Drug Store,rechargeable,296 Flatbush Ave,Brooklyn,11217,40.6780163,-73.9733887
Duane Reade Drug Store,rechargeable,300 E 39Th St,New York,10016,40.7476318,-73.9733044
Staples #1165,rechargeable;singleuse;cellphones,442 5th Ave,New York,10018,40.7521111,-73.9823202
MetroCom,rechargeable;cellphones,250 W 40th St Fl 4,New York,10018,40.7553463,-73.9897963
Duane Reade Drug Store,rechargeable,756 Myrtle Ave,Brooklyn,11206,40.6948257,-73.95196419999999
Staples #0184,rechargeable;singleuse;cellphones,675 3rd Ave,New York,10017,40.751077,-73.9738022
The Home Depot,rechargeable,550 Hamilton Ave,Brooklyn,11232,40.667603,-73.9989801
The Home Depot,rechargeable,585 Dekalb Ave,Brooklyn,11205,40.6916027,-73.952784
Walgreen Drug Store,rechargeable,462 5Th Avenue,Brooklyn,11215,40.6685326,-73.9872728
Dollar Tree,rechargeable,590 Hamilton Avenue,Brooklyn,11232,40.6667946,-73.99682229999999
Duane Reade Drug Store,rechargeable,700 8Th Ave,New York,10036,40.7588582,-73.9882411
Staples #5308,rechargeable;singleuse;cellphones,800 3rd Ave,New York,10022,40.7556476,-73.9713866
Duane Reade Drug Store,rechargeable,1251 Avenue Of The Americas,New York,10020,40.7601019,-73.9818173
Staples #1795,rechargeable;singleuse;cellphones,535 Morgan Ave,Brooklyn,11222,40.72273209999999,-73.9393812
Dollar Tree,rechargeable,680 Meeker Ave,Brooklyn,11222,40.7225967,-73.9392434
Duane Reade Drug Store,rechargeable,931 1St Ave,New York,10022,40.7548347,-73.9658077
Staples #5311,rechargeable;singleuse;cellphones,1755 Broadway,New York,10019,40.7657904,-73.9822476
The Home Depot,rechargeable,980 3rd Ave,New York,10022,40.7614144,-73.9670568
Dollar Tree,rechargeable,1720 Atlantic Avenue,Brooklyn,11213,40.6769861,-73.9338729
Duane Reade Drug Store,rechargeable,1352 1St Ave,New York,10021,40.7680912,-73.9554488
Trek Bicycle Upper West Side 72nd St,ebike,156 W 72nd St.,New York,10023,40.7779989,-73.98093779999999
Trek Bicycle Upper West 72nd,ebike,156 West 72nd Street,New York,10023,40.7779989,-73.98093779999999
Dollar Tree,rechargeable,3909 Queens Blvd,Sunnyside,11104,40.7444205,-73.9257918
Dollar Tree,rechargeable,2244 Church Ave,Brooklyn,11226,40.6504382,-73.9572324
Dollar Tree,rechargeable,300 Wyckoff Avenue.,Brooklyn,11237,40.69906539999999,-73.91093339999999
The Home Depot,rechargeable;cellphones,59-15 Maurice Ave,Queens,11378,40.7268591,-73.9093839
Staples #0746,rechargeable;singleuse;cellphones,2248 Broadway,New York,10024,40.78481499999999,-73.978906
Staples #0653,rechargeable;singleuse;cellphones,1280 Lexington Ave,New York,10028,40.779782,-73.95564019999999
Duane Reade Drug Store,rechargeable,401 E 86Th St,New York,10028,40.7768972,-73.9487946
Trek Bicycle Upper East Side,ebike,1690 2nd Ave,New York,10128,40.7786522,-73.950777
Dollar Tree,rechargeable,31-72 31st Street,Astoria,11106,40.76265679999999,-73.9251896
New York City Police Department,rechargeable;cellphones,5016 59th Pl,Woodside,11377,40.7363776,-73.9058611
DeWalt Factory Service Center,rechargeable;cellphones,56-15 Queens Blvd,Woodside,11377,40.7423382,-73.9085254
Staples #0841,rechargeable;singleuse;cellphones,5812 Queens Blvd,Woodside,11377,40.740847,-73.9070017
The Home Depot,rechargeable,5010 Northern Blvd,Long Island City,11101,40.7522899,-73.9122837
Forestiere Power Tool & Equipment Co Inc,rechargeable;cellphones,6202 64th St,Middle Village,11379,40.7141457,-73.89818939999999
Dollar Tree,rechargeable,198 E 98th Street,Brooklyn,11212,40.6623513,-73.92041309999999
Dollar Tree,rechargeable,1709 Saint Marks Avenue,Brooklyn,11233,40.6732697,-73.9099872
Dollar Tree,rechargeable,51-02 Northern Blvd.,Woodside,11377,40.7525404,-73.9097116
Dollar Tree,rechargeable,63-14 Queens Blvd,Woodside,11377,40.7409264,-73.90207370000002
Staples #0171,rechargeable;singleuse;cellphones,5110 Broadway,Woodside,11377,40.7537606,-73.9090686
uBreakiFix,rechargeable;cellphones,202 W 96th St,New York,10025,40.7940687,-73.9709694
