Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Har Har Pharmacy Corp DBA Big Apple Pharmacy,"37-71 103rd Street,  Queens,  NY 11368",Queens,11368,40.751473,-73.8632,Pharmaceuticals & Syringes
Montefiore Hospital,"111 E 210 St, Bronx, NY 10461",Bronx,10461,40.880092,-73.879833,Pharmaceuticals & Syringes
Port Richmond Wellness Center,"166 Port Richmond Ave, Staten Island, NY, 10302",Staten Island,10302,40.63718,-74.134338,Pharmaceuticals & Syringes
Russo's Pharmacy,"19-09 Cornaga Ave,  Queens,  NY 11691",Queens,11691,40.602018,-73.7522,Pharmaceuticals & Syringes
New York Hospital Medical Center of Queens,"56-100 Main St Flushing, NY 11355",Queens,11355,40.715838,-73.816446,Pharmaceuticals & Syringes
King David Center for Nursing & Rehabilitation,"2266 Cropsey Ave, Brooklyn, NY 11214",Brooklyn,11214,40.596568,-73.998317,Pharmaceuticals & Syringes
Memorial Hospital for Cancer and Allied Diseases,"444 E 68 St, New York, NY 10065",Manhattan,10065,40.76864,-73.966539,Pharmaceuticals & Syringes
Resort Nursing Home,"430 Beach 68 St Averne, NY 11692",Queens,11692,40.59359,-73.796761,Pharmaceuticals & Syringes
Kings Terrace Health Care Center,"2678 Kingsbridge Ter, Bronx, NY 10463",Bronx,10463,40.870425,-73.903871,Pharmaceuticals & Syringes
CFH Brownsville Medical Clinic,"357 Saratoga Ave, Brooklyn, NY 11233",Brooklyn,11233,40.67363,-73.916601,Pharmaceuticals & Syringes
Grand Manor Nursing & Rehabilitation Center,"700 White Plains Rd, Bronx, NY 10473",Bronx,10473,40.820343,-73.857452,Pharmaceuticals & Syringes
Horizon Health Care,"64-11 Beach Channel Dr, Averne, NY 11692",Queens,11692,40.592797,-73.793833,Pharmaceuticals & Syringes
Avonora Pharmacy,"149-01 Union Turnpike,  Queens,  NY 11367",Queens,11367,40.718927,-73.8136,Pharmaceuticals & Syringes
Chapin Home For the Aging,"16501 Chapin Pkwy Jamaica, NY 11432",Queens,11432,40.714745,-73.801208,Pharmaceuticals & Syringes
Triumph Pharmacy,"111-12 Sutphin Boulevard,  Queens,  NY 11435",Queens,11435,40.688079,-73.7957,Pharmaceuticals & Syringes
Stuyvesant Cove Park,"24-20 FDR Drive, Service Road East, New York, NY 10010",Manhattan,10010,40.735295,-73.973877,Pharmaceuticals & Syringes
CVS Pharmacy,"150 East 42nd Street,  Manhattan,  NY 10017",Manhattan,10017,40.750758,-73.9755,Pharmaceuticals & Syringes
CVS Pharmacy,"1933 Victory Boulevard,  Staten Island,  NY 10314",Staten Island,10314,40.612915,-74.1283,Pharmaceuticals & Syringes
NYPD 63rd Precinct,"1844 Brooklyn Ave,  Brooklyn,  NY 11210",Brooklyn,11210,40.62797,-73.9416,Pharmaceuticals & Syringes
Established Drugs,"3001 Clarendon Rd,  Brooklyn,  NY 11226",Brooklyn,11226,40.643514,-73.9486,Pharmaceuticals & Syringes
Norwegian Christian Home and Health Center,"1250 67th St, Brooklyn, NY 11219",Brooklyn,11219,40.624807,-74.003982,Pharmaceuticals & Syringes
Washington Heights Corner Project,"566 W 181 St, New York, NY 10033",Manhattan,10033,40.8491,-73.933536,Pharmaceuticals & Syringes
